NORAD_ID,Name,Distance_km,XRay_Jm2,Neutron_nm2,Gamma_radsSi,Effects_List,Prompt_Status,Corrected_Argus_krad,Inclination_deg,Mean_Alt_km,Constellation
45088,STARLINK-1183,10317.644087110784,0.0,0.0,0.0,['NOMINAL'],Nominal,370330.3357623806,53.1578,480.2401715195026,STARLINK (LEO)
45096,STARLINK-1152,11618.02190497248,0.0,0.0,0.0,['NOMINAL'],Nominal,370054.33439205453,53.037,442.6216172127987,STARLINK (LEO)
45098,STARLINK-1184,7177.724845143317,0.0,0.0,0.0,['NOMINAL'],Nominal,375607.28145549283,53.0541,534.5716075211253,STARLINK (LEO)
45100,STARLINK-1193,9526.143652240553,0.0,0.0,0.0,['NOMINAL'],Nominal,368563.6754101906,53.0518,380.93888127253155,STARLINK (LEO)
45179,STARLINK-1143,3629.0918101360403,24.448935855633128,17.00795537783174,2.6574930277862092e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,370728.5220900932,53.0468,341.9383704920572,STARLINK (LEO)
45183,STARLINK-1202,12656.461438139047,0.0,0.0,0.0,['NOMINAL'],Nominal,373281.90973428334,53.1603,481.40831196360614,STARLINK (LEO)
45185,STARLINK-1216,9793.903989636116,0.0,0.0,0.0,['NOMINAL'],Nominal,370662.956409551,53.1596,481.08561471553134,STARLINK (LEO)
45187,STARLINK-1225,9786.085887758782,0.0,0.0,0.0,['NOMINAL'],Nominal,370786.8698690471,53.15970000000001,481.7226880818293,STARLINK (LEO)
45189,STARLINK-1230,12661.620233274061,0.0,0.0,0.0,['NOMINAL'],Nominal,373128.0608850166,53.1603,482.0315673201807,STARLINK (LEO)
45190,STARLINK-1234,3272.296558925673,30.071186241003776,20.91908608069828,3.2686072001091062e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,370752.43406465446,53.0424,359.10927727545453,STARLINK (LEO)
45197,STARLINK-1269,10843.99795250569,0.0,0.0,0.0,['NOMINAL'],Nominal,372123.60497068,53.1601,481.0480772868171,STARLINK (LEO)
45198,STARLINK-1154,12598.738317782463,0.0,0.0,0.0,['NOMINAL'],Nominal,369306.9463389018,53.048,403.53158235058925,STARLINK (LEO)
45201,STARLINK-1199,6261.775067315069,0.0,0.0,0.0,['NOMINAL'],Nominal,373053.5582855675,53.15840000000001,480.95619470544284,STARLINK (LEO)
45206,STARLINK-1209,10486.769120330671,0.0,0.0,0.0,['NOMINAL'],Nominal,371058.9974653267,53.0447,397.8674735536438,STARLINK (LEO)
45207,STARLINK-1210,,,,,['NOMINAL'],Nominal,,52.9966,,STARLINK (LEO)
45212,STARLINK-1231,12620.876659832196,0.0,0.0,0.0,['NOMINAL'],Nominal,372128.67862230353,53.0452,500.16724774001653,STARLINK (LEO)
45217,STARLINK-1271,4331.930180523279,15.929242597658472,11.936723160503563,1.865112993828682e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,375079.44338556763,53.159,482.296142233723,STARLINK (LEO)
45222,STARLINK-1191,9133.971079675466,0.0,0.0,0.0,['NOMINAL'],Nominal,372193.4084411075,53.1595,471.1218767238384,STARLINK (LEO)
45223,STARLINK-1212,6146.269304438573,0.0,0.0,0.0,['NOMINAL'],Nominal,373038.0156861697,53.0476,387.5254250133877,STARLINK (LEO)
